S#,Title,Location,State,Date,Incident Area,Open/Close Location,Target,Cause,Summary,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
211,Atlantis Plastics,"Henderson, Kentucky",Kentucky,6/25/2008,Atlantis Plastics Factory,Close,Coworkers,anger,"On June 25, 2008, a 25-year-old factory worker at Atlantis Plastics in Henderson, Kentucky had been reprimanded by a supervisor and escorted out of his workplace. He returned with a gun and began shooting, killing his supervisor, five employees and wounded a sixth before committing suicide.",7,1,7,0,25,1,Atlantis Plastics,No,White American or European American,Male,37.84040411,-87.57853755
212,Northern Illinois University shooting,"DeKalb, Illinois",Illinois,2/14/2008,Lecture Hall,Close,Students,terrorism,"Steven Kazmierczak, 27, opened fire in a lecture hall, then shot and killed himself before police arrived.",5,21,26,0,27,,,Yes,white,Male,41.9294736,-88.7503647
213,Kirkwood City Hall,"Kirkwood, Missouri",Missouri,2/7/08,City Hall Building,Open+Close,Policeman+Council Member,terrorism,"On February 7, 2008, a 52-year-old construction worker entered the City Hall building in Kirkwood, Missouri and opened fire on a police officer, taking the officer's gun and continuing on to the commencing city council meeting. He began shooting at the council members and reporters, killing five and wounding two others before being killed by police. The mayor suffered wounds that he died from several months later.",6,2,7,0,52,1,,No,Black American or African American,Male,38.57889169,-90.42023754
214,"Carnation, Washington","Carnation, Washington",Washington,12/24/2007,Home,Close,Family,domestic disputer,"On December 24, 2007, an unemployed woman and her boyfriend, both aged 29, shot the woman's father in regards to a financial dispute in his home in Carnation, Washington. The couple then shot the woman's mother before her brother, his wife and children arrived, upon which the couple shot and killed all four. They were later arrested in the home.",6,0,6,0,29,0,,No,White American or European American,Male/Female,47.64628742,-121.9088524
215,Mojave High School Bus,"Las Vegas, Nevada",Nevada,12/11/07,School Bus Stop,Open,random,terrorism,"On December 11, 2007, an 18-year-old high school drop out of Mojave High School in Las Vegas, Nevada arrived at a school bus stop where he planned an encounter with a student who had bumped into him the day before. He then began shooting at the student and others, wounding six before fleeing the scene. The shooter was arrested in Denver, CO after the police received a tip that he was on a bus to Chicago.",0,6,6,0,18,,,No,Black American or African American,Male,36.18931923,-115.3264875
216,Youth With A Mission and New Life Church,"Arvada, Colorado",Colorado,12/9/07,Training Center+Church,Close,random,anger,"On December 9, 2007, a 24-year-old failed missionary entered the Youth With A Mission training center in Arvada, Colorado and began shooting, killing two and wounding two others. He then went to the New Life Church, shooting and killing two more and wounding three others. A former police officer in the congregation opened fire on the shooter, wounding him before he decided to take his own life.",5,5,9,0,24,,,No,White American or European American,Male,39.81087474,-105.173715
217,Westroads Mall shooting,"Omaha, Nebraska",Nebraska,12/5/07,Shopping Mall,Close,random,terrorism,"Robert A. Hawkins, 19, opened fire inside Westroads Mall before committing suicide.",9,4,13,0,19,,,Yes,white,Male,41.2587317,-95.9378732
218,South Middle School Football Game,"Saginaw, Michigan",Michigan,10/25/2007,"South Middle School in Saginaw, Michigan",Open,Students,frustration,"On October 25, 2007, a 15-year-old student arrived at a football game at South Middle School in Saginaw, Michigan looking for his brother. He then ran into other students with which he had an ongoing confrontation and began shooting, wounding four before fleeing the scene. He was later arrested and charged with assault with intent to murder",0,4,4,0,15,,,No,Black American or African American,Male,43.41929117,-83.95032759
219,SuccessTech Academy,"Cleveland, Ohio",Ohio,10/11/07,SuccessTech Academy,Close,Students+Teachers,suspension,"On October 11, 2007, a 14-year-old student of SuccessTech Academy in Cleveland, Ohio arrived at school two days after he had been suspended for getting into a fist-fight with another student. He then began shooting at students and teachers, injuring four during the incident and committing suicide.",1,4,4,0,14,,,Yes,White American or European American,Male,41.47657557,-81.68051502
220,Crandon shooting,"Crandon, Wisconsin",Wisconsin,10/7/07,Home,Close,party guests,anger,"Off-duty sheriff's deputy Tyler Peterson, 20, opened fire inside an apartment after an argument at a homecoming party. He fled the scene and later committed suicide.",6,1,7,0,20,1,Deputy Sheriff,Unclear,white,Male,45.5719072,-88.9028922
221,Virginia Tech massacre,"Blacksburg, Virginia",Virginia,4/16/2007,School Campus,Close,random,terrorism,"Virginia Tech student Seung-Hui Cho, 23, opened fire on his school's campus before committing suicide.",32,23,55,0,23,,,Yes,Asian,Male,37.2295733,-80.4139393
222,Springwater Trail High School,"Gresham, Oregon",Oregon,4/10/07,Springwater Trail High School,Close,Students,terrorism,"On April 10, 2007, a 15-year-old student of Springwater Trail High School in Gresham, Oregon arrived to his school and began shooting at his classmates. He wounded ten and killed none before being arrested.",0,10,10,0,15,,,No,Some other race,Male,45.50216511,-122.4412759
223,Trolley Square,"Salt Lake City, Utah",Utah,2/12/07,Trolley Square,Open,random,religious radicalism,"On February 12, 2007, an 18-year-old refugee and high school drop out in Salt Lake City, Utah arrived at Trolley Square and began shooting at the crowd. He killed five and wounded four others before being shot and killed by police. The incident was thought to be an attack of religious radicalism.",6,4,9,0,18,,,Unknown,White American or European American,Male,40.77787404,-111.9312168
224,Amish school shooting,"Lancaster County, Pennsylvania",Pennsylvania,10/2/06,Bart Township,Close,school girls,terrorism,"Charles Carl Roberts, 32, shot 10 young girls in a one-room schoolhouse in Bart Township, killing 5, before taking his own life.",6,5,11,0,32,,,No,white,Male,39.9589,-76.0806
225,West Nickel Mines Amish School,"Nickel Mines, Lancaster, Pennsylvania",Pennsylvania,10/2/06,Bart Township,Close,school girls,terrorism,"On October 2, 2006, a 32-year old men killed five schoolgirls and seriously wounded five others in West Nickel Amish School in Nickel Mines, Pennsylvania before taking his own life. Before the shooting, the gunman separated the students by gender and age, letting go males and adults before locking the school. He ended up committing suicide before police broke into the school.",6,5,10,0,32,,,Unknown,White American or European American,Male,40.04214385,-76.30100872
226,Duquesne University,"Pittsburgh, Pennsylvania",Pennsylvania,9/17/2006,,,basketball players,frustration,"On September 17, 2006, two 18-year old men shot at five Duquesne University basketball players after a school dance. Several players said the shooter was a non-student unhappy that the woman he accompanied to the dance had talked with a player. The shooter and at least one other man followed the players when they left the dance to walk to their dormitory. Both man were later identified and arrested.",0,5,5,0,18,,,Unknown,Black American or African American,Male,40.43948548,-79.97631581
227,Orange High School,"Hillsborough, North Carolina",North Carolina,8/30/2006,Home+School,Close,random,psycho,"On August 30, 2006, a 18-year old former student at Orange High School in Hillsborough, North Carolina returned to the school to open fire on students and teachers having lunch outside, injuring two students. The student was apprehended outside the school and he confessed that he had previously killed his own father at their family home.",1,2,3,0,18,,,Yes,Some other race,Male,36.04099857,-79.09701201
228,Essex Elementary School,"Essex Junction, Vermont",Vermont,8/24/2006,Home+School,Close,Ex-GirlFriend,psycho,"On August 24, 2006, a 26-year old killed two people and wounded two others in a shooting rampage that began at his ex-girlfriend's home  in Essex Junction, Vermont and continued at the elementary school where she worked. Afterward, the shooter went to his friend's house to get more ammunition for the gun he had borrowed from him and shot his friend. He then try to commit suicide by shooting himself twice in the head, but he survived.",2,2,4,0,26,,,Yes,Black American or African American,Male,44.49022039,-73.11400628
229,Capitol Hill massacre,"Seattle, Washington",Washington,3/25/2006,Capitol Hill neighborhood of Seattle,,random,drunk,"Kyle Aaron Huff, 28, opened fire at a rave afterparty in the Capitol Hill neighborhood of Seattle before committing suicide.",7,2,9,0,28,,,No,white,Male,47.6229,-122.3165
230,Goleta Post Office,"Goleta, California",California,1/30/2006,Goleta Post Office,Close,Coworkers,psycho,"On January 30, 2006, a 44-year-old postal worker on leave for psychological reasons killed her former neighbor before arriving to the Goleta Post Office where she worked in Goleta, California. She then opened fire on her coworkers, killing six before committing suicide.",8,0,7,0,44,1,Goleta Post Office,Yes,White American or European American,Female,34.43606107,-119.8593619
231,Red Lake High School,"Red Lake, Minnesota",Minnesota,3/21/2005,Home+School,Close,random,psycho,"On March 21, 2005, after killing his grandfather and his grandfather's girlfriend in their home, a 16-year-old student of Red Lake High School in Red Lake, Minnesota arrived on campus and began shooting at his classmates and teachers. He killed five students, a teacher, a security guard and wounded five others before committing suicide.",10,5,14,0,16,,,Yes,Native American or Alaska Native,Male,47.87067289,-95.00529009
232,Living Church of God,"Brookfield, Wisconsin",Wisconsin,3/12/05,Church,Close,random,frustration,"On March 12, 2005, a 44-year-old computer technician about to lose his job in Brookfield, Wisconsin opened fire on a congregation at the Living Church of God, killing the minister, six others and wounding four more before committing suicide.",8,4,11,0,44,,,No,White American or European American,Male,43.06396691,-88.12299758
233,Tyler Courthouse,"Tyler, Texas",Texas,2/24/2005,Smith County Courthouse,Open,Ex-Wife,frustration,"On February 24, 2005, a 43-year old man opened fire on his ex-wife and son in front of the Smith County Courthouse inTyler, Texas. After wounding three law enforcement officers and killing another civilian, the gunman was killed in a gun battle with officers. The shooter was being sued for unpaid child support.",3,4,6,0,43,,,Unknown,Some other race,Male,32.3154272,-95.30501087
234,Damageplan show at the Alrosa Villa Nightclub,"Columbus, Ohio",Ohio,12/8/04,,Open+Close,random,frustration,"On December 8, 2004, a 25-year-old former mechanic for the US Marine Corps shot and killed the lead guitarist in the band Damageplan before shooting into the crowd at a concert at the Alrosa Villa Nightclub in Columbus, Ohio. Apparently upset by the breakup of the band Pantera, the shooter killed an additional three and wounded seven before being killed by police backstage.",5,7,11,0,25,,,Yes,White American or European American,Male,39.98861445,-82.98904135
235,"Birchwood, Wisconsin","Birchwood, Wisconsin",Wisconsin,11/21/2004,forests of Birchwood,Open,hunters,anger,"On November 21, 2004, a 36-year-old man hunting with companions in the forests of Birchwood, Wisconsin, encountered a group of hunters and began arguing with them over a deer stand that had apparently been on private land. He then opened fire on the hunters as a result of the confrontation, killing six and wounding two others before being arrested five hours later.",6,2,8,0,36,,,No,Asian American,Male,45.65773714,-91.55077175
236,Windy City Core Supply Warehouse,"Chicago, Illinois",Illinois,8/27/2003,Warehouse,Close,Coworkers,unemployement,"On August 27, 2003, a 36-year-old former employee of Windy City Core Supply in Chicago, Illinois arrived at the warehouse in which he used to work and began shooting at the supervisors that fired him and other coworkers, killing six. He was later killed in a shoot-out with the police.",7,0,6,0,36,0,,No,Some other race,Male,41.83928045,-87.68818145
237,Lockheed Martin shooting,"Meridian, Mississippi",Mississippi,7/8/03,Workplace,Close,random,racism,"Assembly line worker Douglas Williams, 48, opened fire at his Lockheed Martin workplace in a racially motivated attack before committing suicide.",7,8,15,0,48,,,Yes,white,Male,32.376081,-88.68978002
239,University of Arizona College of Nursing,"Tucson, Arizona",Arizona,10/28/2002,University of Arizona,Close,Teachers,failing exams,"On October 28, 2002, a 41-year-old nursing student failing out of his classes University of Arizona College of Nursing in Tucson, Arizona arrived on campus and shot three of his professors, killing them all, before committing suicide.",4,0,3,0,41,,,No,Some other race,Male,32.15358905,-110.9677647
240,Appalachian School of Law,"Grundy, Virginia",Virginia,1/16/2002,Appalachian School of Law,Close,Students+Teachers,anger,"On January 16, 2002, a 43-year-old former student of the Appalachian School of Law in Grundy, Virginia arrived on campus and began shooting. He killed the dean, a professor, a student and wounded three others before being arrested.",3,3,6,0,43,,,No,Black American or African American,Male,37.27537712,-82.09877234
241,Santana High School,"Santee, San Diego, California",California,3/5/01,Santana High School,Close,Students,terrorism,"On March 5, 2001, a 15-year-old student of Santana High School in San Diego, California arrived to school and began shooting at his fellow classmates. Two students were killed and thirteen others were wounded before the shooter was taken into custody.",2,13,15,0,15,,,No,White American or European American,Male,32.86357277,-117.1281628
242,Navistar International,"Melrose Park, Illinois",Illinois,2/5/01,Navistar in Melrose Park,Close,Coworkers,unemployement,"On February 5, 2001, a 66-year-old fired employee arrived at his former workplace at Navistar in Melrose Park, Illinois with firearms, forced his way past security and began shooting at supervisors and coworkers before committing suicide. He had been scheduled to begin a prison sentence the next day on charges of stealing from his employer.",6,4,9,0,66,0,,No,Black American or African American,Male,41.90289602,-87.8643021
243,Wakefield massacre,"Wakefield, Massachusetts",Massachusetts,12/26/2000,Edgewater Technology,Close,Coworkers,,"Michael McDermott, 42, opened fire on co-workers at Edgewater Technology and was later arrested.",7,0,7,0,42,1,Edgewater Technology,Yes,white,Male,42.506484,-71.0728306
244,Radisson Bay Harbor Inn,"Tampa, Florida",Florida,12/30/1999,,Open+Close,Coworkers,,"On December 30, 1999, a 36-year-old employee of the Radisson Bay Harbor Inn in Tampa, Florida arrived at his place of work and began shooting his coworkers, killing four and wounding three others. He fled the scene and attempted to steal a vehicle, killing the woman inside before being arrested.",5,3,8,0,36,1,Radisson Bay Harbor Inn,No,Some other race,Male,27.99601861,-82.44503769
245,Fort Gibson Middle School,"Fort Gibson, Oklahoma",Oklahoma,12/6/99,Fort Gibson Middle School,Close,Students,,"On December 6, 1999, a 13-year-old student at Fort Gibson Middle School in Fort Gibson, Oklahoma opened fire on his classmates for no apparent reason, wounding four before being stopped by a teacher and taken into custody.",0,4,4,0,13,,,No,White American or European American,Male,35.77669911,-95.25996596
246,Xerox killings,"Honolulu, Hawaii",Hawaii,11/2/99,,Close,random,,"Byran Koji Uyesugi, 40, a Xerox service technician, opened fire inside the building with a 9mm Glock. He fled and was later apprehended by police.",7,0,7,0,40,1,Xerox Service Technician,Yes,Asian,Male,21.3255125,-157.8473055
247,Wedgwood Baptist Church,"Fort Worth, Texas",Texas,9/15/1999,Church,Close,random,terrorism,"steven Kazmierczak, 27, opened fire in a lecture hall, then shot and killed himself before police arrived.",8,7,14,0,47,,,Yes,White American or European American,Male,32.74802142,-97.31305148
248,Offices of All-Tech Investment Group and Momentum Securities,"Atlanta, Georgia",Georgia,7/29/1999,Home+Stock Exchange Office,Close,random,psycho,"On July 29, 1999, after murdering his wife and children in their home in Atlanta, Georgia over the prior two days, a 44-year-old day trader entered a stock exchange office, killing four and moving on to another office, where he killed an additional five and wounded twelve. He was pursued by police until he committed suicide at a gas station.",10,12,21,0,44,,,Yes,White American or European American,Male,33.7629969,-84.4231328
249,Heritage High School,"Conyers, Georgia",Georgia,5/20/1999,Heritage High School,,Students,breakup,"On May 20. 1999, a 15-year-old student of Heritage High School in Conyers, Georgia arrived on campus and began shooting his fellow students as he was upset over a breakup with his girlfriend. He non-fatally wounded six students before being arrested.",0,6,6,0,15,,,No,White American or European American,Male,33.66086267,-84.02688527
250,Columbine High School,"Littleton, Colorado",Colorado,4/20/1999,Columbine High School,,Students+Teachers,terrorism,"On April 20, 1999, two students ages 17 and 18 arrived on their campus at Columbine High School in Littleton, Colorado, planning to kill hundreds of their peers and teachers. After two large propane tank bombs failed to explode, the students began shooting at their classmates, killing twelve and a teacher and wounding twenty-four others. The incident ended when the students killed themselves simultaneously in the library.",15,24,37,0,"17,18",,,Yes,White American or European American,Male,39.59358263,-105.0152112
251,Riverside City Hall,"Riverside, California",California,10/6/98,City Hall Building,Close,random,terrorism,"On October 6, 1998, a 48-year-old U.S. Postal Service employee entered a conference room at City Hall in Riverside, California and began shooting. He wounded the mayor, two council members and three police officers before being shot by police and taken into custody.",0,6,6,0,48,1,U.S. Postal Service,No,Black American or African American,Male,33.93814348,-117.3948409
252,Thurston High School,"Springfield, Oregon",Oregon,5/21/1998,Home+School,Close,Students+Parents,psycho,"On May 21, 1998, a 15-year-old student at Thurston High School in Springfield, Oregon arrived on campus the day after killing both his parents with firearms in their home. He began shooting at the students, killing two and wounding twenty-five others before being arrested.",4,25,29,0,15,,,Yes,White American or European American,Male,44.05489698,-123.0075562
253,Parker Middle School Dance,"Edinboro, Pennsylvania",Pennsylvania,4/24/1998,Banquet Hall,Close,random,,"On April 24, 1998, a 14-year-old student of Park Middle School in Edinboro, Pennsylvania was attending the end-of-the-year dance at an off-campus banquet hall. The student pulled his father's gun from a pocket and began shooting, killing a teacher and wounding another and two students before being arrested.",1,3,4,0,14,,,Yes,White American or European American,Male,41.87617136,-80.12459632
254,Westside Middle School killings,"Jonesboro, Arkansas",Arkansas,3/24/1998,School,Close,Students+Teachers,,"Mitchell Scott Johnson, 13, and Andrew Douglas Golden, 11, two juveniles, ambushed students and teachers as they left the school; they were apprehended by police at the scene.",5,10,15,0,"13,11",,,No,white,Male,35.8209895,-90.6682606
255,Connecticut State Lottery Headquarters,"Newington, Connecticut",Connecticut,3/6/98,Workplace,Close,Coworkers,anger,"On March 6, 1998, a 35-year-old disgruntled employee of the State Lottery in Newington, Connecticut arrived at his workplace and began shooting. He killed four of his coworkers and supervisors before committing suicide.",5,0,4,0,35,1,State Lottery,Yes,White American or European American,Male,41.68700845,-72.73083927
256,Milwaukee Post Office,"Milwaukee, Wisconsin",Wisconsin,12/19/1997,Workplace,Close,Coworkers,,"On December 19, 1997, a 37-year-old postal worker in Milwaukee, Wisconsin began shooting at the post office where he was employed. He shot and killed a coworker and wounded his supervisor and another coworker before committing suicide.",2,2,3,0,37,1,Milwaukee,No,Black American or African American,Male,43.06420322,-87.96724385
257,Caltrans Maintenance Yard,"Orange, California",California,12/18/1997,Workplace,Close,Ex-Coworkers,unemployement,"On December 18, 1997, a 41-year-old recently fired Caltrans employee arrived to his former office and began shooting at his former coworkers and supervisors. He killed four employees and wounded another and a police officer before being killed by police.",5,2,6,1,41,0,,No,Some other race,Male,33.78935598,-117.820412
258,Heath High School,"West Paducah, Kentucky",Kentucky,12/1/97,Health High School,,prayer group,psycho,"On December 1, 1997, a 14-year-old student at Heath High School in West Paducah, Kentucky brought stolen guns to campus and began shooting at a prayer group that met every day, killing three students and wounding five others before being arrested. The shooter was later found to have been suffering from paranoid schizophrenia.",3,5,8,0,14,,,Yes,White American or European American,Male,37.08506,-88.74422
259,Pearl High School,"Pearl, Mississippi",Mississippi,10/1/97,Home+School,Close,random,psycho,"On October 1, 1997, a 16-year-old student of Pearl High School in Pearl, Mississippi stabbed his mother to death before heading to school. Once there, he shot and killed his ex-girlfriend and her friend before wounding an additional seven other students. He was stopped while fleeing the incident by a principal with a handgun and was arrested.",2,7,9,0,16,,,Yes,White American or European American,Male,32.27492783,-90.09470655
260,R.E. Phelon Company,"Aiken, South Carolina",South Carolina,9/15/1997,R.R. Phelon Company,Open+Close,Ex-Coworkers,unemployement,"On September 15, 1997, a 43-year-old former employee of the R.E. Phelon Company in Aiken, South Carolina arrived at the plant and shot the security guard in the parking lot. He then entered the facility and began shooting his former coworkers, killing four and wounding two others. He attempted suicide with insecticide, but was unsuccessful and eventually arrested.",4,3,7,1,43,0,,No,Black American or African American,Male,33.47524551,-81.72595949
261,Bethel Regional High School,"Bethel, Alaska",Alaska,2/19/1997,Bethel Regional High School,Close,Students+Teachers,frustration,"On February 19, 1997, a 16-year-old student at Bethel Regional High School in Bethel, Alaska arrived on campus and shot a popular student, killing him. He later shot and killed the school's principal and wounded two others before being arrested.",2,2,4,0,16,,,Yes,White American or European American,Male,60.79053882,-161.7927517
262,San Diego State University,"San Diego, California",California,8/15/1996,San Diego State University,Close,Teachers,,"On August 15, 1996, a 36-year-old mechanical engineering graduate student at San Diego State University in San Diego, California was set to defend his Master's thesis for the second time. Instead, he pulled a gun he had stashed in a first aid kit in the room and shot twenty-three rounds into the three professors witnessing his defense, killing all three. He was found and arrested in the room, where he had planned to commit suicide but could not do it.",3,0,3,0,36,,,No,White American or European American,Male,32.86357277,-117.1281628
263,Fort Lauderdale revenge shooting,"Fort Lauderdale, Florida",Florida,2/9/96,,,Ex-Coworkers,revenge,"Fired city park employee Clifton McCree, 41, opened fire on former coworkers he called ""racist devils"" inside their municipal trailer in an act of revenge after failing a drug test. He then committed suicide.",6,1,7,0,41,0,,Yes,black,Male,26.1223084,-80.1433786
264,Frontier Junior High School,"Moses Lake, Washington",Washington,2/2/96,Frontier Junior High School,Close,Students+Teachers,frustration,"On February 2, 1996, a 14-year-old student walked into his algebra class at Frontier Junior High School in Moses Lake, Washington shooting and killing his teacher before killing two students, one who had bullied him, and wounding another student in the arm. He then held the class hostage and was tackled and held by a teacher until he was apprehended by police.",3,1,4,0,14,,,Yes,White American or European American,Male,47.12189424,-119.2750699
265,Richland High School,"Lynnville, Tennessee",Tennessee,11/15/1995,Richland High School,Close,Students+Teachers,,"On November 15, 1995, a 17-year-old students at Richland High School in Lynnville, Tennessee arrived to school and began shooting. He killed a teacher, a student and wounded another teacher before the gun was wrestled away from him by another teacher.",2,1,3,0,17,,,Yes,White American or European American,Male,35.37810374,-87.00610559
267,Montclair Post Office,"Montclair, New Jersey",New Jersey,3/21/1995,Post Office in Montclair,Close,random,unemployement,"On March 21, 1995, a 29-year-old former postal laborer entered a post office in Montclair, New Jersey, and robbed the employees at gunpoint. He then killed two postal workers, two customers and wounded another man before fleeing the scene. He was later arrested in his apartment.",4,1,5,0,29,0,,No,White American or European American,Male,40.826184,-74.20862
268,Downtown Chapel Hill,"Chapel Hill, North Carolina",North Carolina,1/26/1995,,Open,random,psycho,"On January 26, 1995, a 26-year-old mentally ill law student in Chapel Hill, North Carolina, was permitted to take unsupervised off-campus trips outside his mental hospital. During this particular trip, he opened fire on passersby, killing two and wounding two others before being arrested. He was found not guilty by reason of insanity and later won a lawsuit against a psychiatrist.",2,2,4,0,26,,,Yes,White American or European American,Male,35.92681467,-79.03850407
270,Wickliffe Middle School,"Wickliffe, Ohio",Ohio,11/7/94,Wickliffe Middle School,Close,random,psycho,"On November 7, 1994, a 37-year-old man approached the Wickliffe Middle School in Wickliffe, Ohio and shot, killing a custodian. He then wounded a school administrator, a teacher and a police officer before being detained by the police.",1,3,4,0,37,,,Yes,White American or European American,Male,41.60713735,-81.46902046
271,Fairchild Air Force Base Hospital,"Fairchild Air Force Base, Washington",Washington,6/20/1994,hospital,Close,psychologist+psychiatrist,anger,"On June 20, 1994, a 20-year-old discharged technician at the Fairchild Air Force Base Hospital outside of Spokane, Washington entered the office of the psychologist and psychiatrist that first diagnosed him to be unfit for service, shot and killed them both. He continued shooting at patients and visitors at the hospital, killing a young boy, the wife of a retired serviceman and wounding twenty-three more before being killed by a military police officer.",5,23,27,0,20,0,,Yes,White American or European American,Male,47.618456,-117.644099
272,"Residence in Union, Kentucky","Union, Kentucky",Kentucky,5/26/1994,Home+School,Close,random,psycho,"On May 26, 1994, a 17-year-old high school student awoke in the early hours of the day to kill his parents and his sisters in their home. He then kidnapped his prom date at gunpoint and brought her to a classroom, where he held her, a teacher and 22 students hostage before being detained by police.",4,0,4,0,17,,,No,White American or European American,Male,38.95130818,-84.67066339
273,Chelsea High School,"Chelsea, Michigan",Michigan,12/16/1993,Chelsea High School,Close,Coworkers,anger,"On December 16, 1993, after a meeting with school officials in regards to a harassment complaint made by a student, a 39-year-old Chemistry teacher at Chelsea High School in Chelsea, Michigan stormed off with his wife and went home. Still enraged by the allegation, he returned to the school, killing the superintendent and wounding the principal and a teacher before being arrested.",1,2,3,0,39,1,Chelsea High School,Yes,White American or European American,Male,42.31319376,-84.01868108
274,Chuck E. Cheese in Aurora,"Aurora, Colorado",Colorado,12/14/1993,Chuck E. Cheese,Close,Ex-Coworkers,unemployement,"On December 14, 1993, a 19-year-old fired Chuck E. Cheese's employee in Aurora, Colorado visited his former workplace and waited until closing to confront his ex-coworkers. He then opened fire, killing three teenaged employees, one 50-year-old employee, and wounding another before being arrested.",4,1,5,0,19,0,,Yes,Black American or African American,Male,39.69892933,-104.7871863
275,Long Island Rail Road Commuter Train,"Garden City, New York",New York,12/7/93,Train,Close,random,psycho,"On December 7, 1993, a 34-year-old mentally unstable man boarded a Lond Island Rail Road commuter train headed to Nassau County in New York. He began shooting in the train car, killing six and wounding nineteen before being apprehended by three passengers in the train.",6,19,25,0,34,,,No,Black American or African American,Male,40.72662266,-73.644712
276,Central Middle School,"Sheridan, Wyoming",Wyoming,9/17/1993,Central Middle School,Close,random,frustration,"On September 17, 1993, a 29-year-old man recently discharged from the Navy approached a physical education class at Central Middle School in Sheridan, Wyoming and opened fire on its 29 students. He wounded four students before committing suicide in front of the class.",1,4,4,0,29,0,,No,White American or European American,Male,44.79051074,-106.9599165
277,Luigi's Restaurant in Fayetteville,"Fayetteville, North Carolina",North Carolina,8/6/93,Luigi's Restaurant,Close,random,anger,"On August 6, 1993, a 22-year old army sergeant opened fire inside Luigi's Restaurant in Fayetteville, North Carolina, killing four people and injuring eight more. The shooter was ranting about gays in the military before he was shot and arrested by police.",4,8,12,0,22,1,Army,No,White American or European American,Male,35.07997086,-79.03796125
278,Weber State University,"Ogden, Utah",Utah,7/8/93,Weber State University,Close,random,frustration,"On July 8, 1993, a 28-year old student shot and injured three people at a grievance hearing at Weber State University in Odgen, Utah. One of the injured was a State police officer who was able to shoot back, killing the perpetrator.",1,3,3,0,28,,,No,Asian American,Male,41.2281367,-111.9675317
279,Offices of Pettit & Martin in San Francisco,"San Francisco, California",California,7/1/93,law firm,Close,lawyers,frustration,"On July 1, 1993, a 55-year-old failing entrepreneur entered the law offices of Pettit & Martin in the financial district of San Francisco, California. He then opened fire on the office, killing eight and wounding six others before turning the gun on himself. He had apparently targeted the law firm due to his deep hatred for lawyers arising from his failed business endeavors and a real estate consultation with the firm years before.",9,6,14,0,55,,,No,White American or European American,Male,37.75457839,-122.4424343
280,Dearborn Post Office,"Dearborn, Michigan",Michigan,5/6/93,Workplace,Close,Coworkers,frustration,"On May 6, 1993, a 45-year-old postal mechanic, upset with supervisors and the management of his post office in Dearborn, Michigan, arrived to work and began shooting. He killed a supervisor and wounded two other postal employees before committing suicide.",2,2,3,0,45,1,,Unknown,Unknown,Male,42.31269522,-83.21293244
281,Dana Point Post Office,"Dana Point, California",California,5/6/93,,Open+CLose,random,psycho,"On May 6, 1993, after murdering his mother and her dog, a 38-year-old postal employee who had been fired five months prior arrived at the post office in Dana Point, California and shot and killed a former coworker and wounded another. He later shot a man in his garage, a woman motorist, robbed and shot two others at an ATM, totaling five injured victims and one death.",1,5,6,0,38,0,,Yes,White American or European American,Male,33.47316083,-117.696399
282,Simon's Rock College of Bard,"Great Barrington, Massachusetts",Massachusetts,12/14/1992,Simon's Rock College of Bard,Close,Students+Teachers,,"On December 14, 1992, an 18-year-old student opened fire at Simon's Rock College of Bard in Great Barrington, Massachusetts. Before turning himself in to police, he killed a student and a teacher and wounded four others.",2,4,6,0,18,,,No,Asian American,Male,42.19358268,-73.36216339
283,Schuyler County Office Building,"Watkins Glen, New York",New York,10/15/1992,County Office Building,Close,Social Workers,frustration,"On October 15, 1992, a 50-year-old truck driver, upset about his wages being garnished for back-payments of child support, entered the Schuyler County Office Building in Watkins Glen, New York. He killed four female social workers before committing suicide.",5,0,4,0,50,1,,No,White American or European American,Male,42.38013875,-76.86724659
284,Palo Duro High School,"Amarillo, Texas",Texas,9/11/92,"Amarillo, Texas",,Students,anger,"On September 11, 1992, a fight broke out in Amarillo, Texas between two students that ended with one student, a 17-year-old male, pulling a gun out and shooting. Six students were wounded before the shooter was taken into custody.",0,6,6,0,17,,,Unknown,Unknown,Male,35.18322484,-101.8805688
285,Lindhurst High School,"Olivehurst, California",California,5/1/92,Lindhurst High School,Close,Students+Teachers,failing exams,"On May 1, 1992, a 20-year-old former student of Lindhurst High School in Olivehurst, California began shooting at students and teachers in classrooms. Seeking revenge for a failing grade, the shooter first killed the teacher who gave him that grade, later killing three students and injuring ten others before being arrested.",4,10,14,0,20,,,Yes,White American or European American,Male,39.08174985,-121.5549539
286,Royal Oak Post Office,"Royal Oak, Michigan",Michigan,11/14/1991,Post Office in Royal Oak,Close,Ex-Coworkers,unemployement,"On November 14, 1991, a 31-year old former postal worker opened fire at the post office in Royal Oak, Michigan, his former workplace. He killed his four supervisors and wounded five co-workers before committing suicide.",5,5,9,0,31,0,,Yes,White American or European American,Male,42.50840203,-83.15387427
287,University of Iowa,"Iowa City, Iowa",Iowa,11/1/91,University of lowa,Close,Coworkers,frustration,"On November 1, 1991, a 28-year-old astrophysics researcher opened fire on academics at a meeting at the University of Iowa in Iowa City. The shooter fatally wounded three professors on his dissertation committee, an academic affairs officer, and the researcher who received the award he felt he deserved, and as well as paralyzing a student employee before committing suicide.",6,1,6,0,28,1,University of lowa,No,Asian American,Male,41.65589405,-91.53117986
