Date,NumShootings
2017,7
2016,26
2015,28
2014,6
2013,5
2012,5
2011,6
2010,2
2009,3
2008,1
2007,7
2006,2
2005,1
2004,1
2003,2
2002,0
2001,2
2000,0
1999,2
1998,2
1997,2
1996,2
1995,1
1994,1
1993,6
1992,2
1991,3
1990,0
1989,1
1988,1
1987,0
1986,2
1985,1
1984,0
1983,0
1982,0
1981,0
1980,0
1979,1
1978,0
1977,0
1976,1
1975,0
1974,0
1973,0
1972,0
1971,1
1970,0
1969,0
1968,0
1967,0
1966,2
